Date,Year,Haul,Station,Transect,Region,Depth,Taxon,Sex,Split,Count,Species Code,Subsample (mL_,TotVol,5MinTowExpansion,CPUE
6/2/2015,2015,116,119,Mbay,Central,,Nd,Female,1,0,1847,15,36,3,0
6/2/2015,2015,116,119,Mbay,Central,,Nd,Both,1,0,1847,15,36,3,0
6/2/2015,2015,116,119,Mbay,Central,,Ns,Male,1,4,0,15,36,3,28.8
6/2/2015,2015,116,119,Mbay,Central,,Ns,Female,1,1,0,15,36,3,7.2
6/2/2015,2015,116,119,Mbay,Central,,Ns,Both,1,5,0,15,36,3,36
6/2/2015,2015,117,119,Mbay,Central,,Ep,Male,1,39,1816,11,33,1,117
6/2/2015,2015,117,119,Mbay,Central,,Ep,Female,1,90,1816,11,33,1,270
6/2/2015,2015,117,119,Mbay,Central,,Ep,Both,1,129,1816,11,33,1,387
6/2/2015,2015,117,119,Mbay,Central,,Ts,Male,1,8,1473,11,33,1,24
6/2/2015,2015,117,119,Mbay,Central,,Ts,Female,1,13,1473,11,33,1,39
6/2/2015,2015,117,119,Mbay,Central,,Ts,Juv,1,12,1473,11,33,1,36
6/2/2015,2015,117,119,Mbay,Central,,Ts,Both,1,33,1473,11,33,1,99
6/2/2015,2015,117,119,Mbay,Central,,Nd,Male,1,0,1847,11,33,1,0
6/2/2015,2015,117,119,Mbay,Central,,Nd,Female,1,0,1847,11,33,1,0
6/2/2015,2015,117,119,Mbay,Central,,Nd,Both,1,0,1847,11,33,1,0
6/2/2015,2015,117,119,Mbay,Central,,Ns,Male,1,13,0,11,33,1,39
6/2/2015,2015,117,119,Mbay,Central,,Ns,Female,1,3,0,11,33,1,9
6/2/2015,2015,117,119,Mbay,Central,,Ns,Both,1,16,0,11,33,1,48
6/3/2015,2015,118,114,Mbay,Central,,Ep,Male,16,53,1816,200,675,3,536.625
6/3/2015,2015,118,114,Mbay,Central,,Ep,Female,16,65,1816,200,675,3,658.125
6/3/2015,2015,118,114,Mbay,Central,,Ep,Both,16,118,1816,200,675,3,1194.75
6/3/2015,2015,118,114,Mbay,Central,,Ts,Male,2,0,1473,200,675,3,0
6/3/2015,2015,118,114,Mbay,Central,,Ts,Female,2,14,1473,200,675,3,141.75
6/3/2015,2015,118,114,Mbay,Central,,Ts,Both,2,51,1473,200,675,3,516.375
6/3/2015,2015,118,114,Mbay,Central,,Nd,Male,2,0,1847,200,675,3,0
6/3/2015,2015,118,114,Mbay,Central,,Nd,Female,2,0,1847,200,675,3,0
6/3/2015,2015,118,114,Mbay,Central,,Nd,Both,2,0,1847,200,675,3,0
6/3/2015,2015,119,114,Mbay,Central,,Ep,Male,16,43,1816,200,9300,1,1999.5
6/3/2015,2015,119,114,Mbay,Central,,Ep,Female,16,56,1816,200,9300,1,2604
6/3/2015,2015,119,114,Mbay,Central,,Ep,Juv,16,6,1816,200,9300,1,279
6/3/2015,2015,119,114,Mbay,Central,,Ep,Both,16,105,1816,200,9300,1,4882.5
6/3/2015,2015,119,114,Mbay,Central,,Ts,Male,16,1,1473,200,9300,1,46.5
6/3/2015,2015,119,114,Mbay,Central,,Ts,Female,16,0,1473,200,9300,1,0
6/3/2015,2015,119,114,Mbay,Central,,Ts,Both,16,1,1473,200,9300,1,46.5
6/3/2015,2015,119,114,Mbay,Central,,Nd,Male,16,0,1847,200,9300,1,0
6/3/2015,2015,119,114,Mbay,Central,,Nd,Female,16,0,1847,200,9300,1,0
6/3/2015,2015,119,114,Mbay,Central,,Nd,Both,16,0,1847,200,9300,1,0
6/3/2015,2015,120,116,Mbay,Central,,Ep,Male,4,29,1816,40,1080,3,2349
6/3/2015,2015,120,116,Mbay,Central,,Ep,Female,4,100,1816,40,1080,3,8100
6/3/2015,2015,120,116,Mbay,Central,,Ep,Both,4,129,1816,40,1080,3,10449
6/3/2015,2015,120,116,Mbay,Central,,Ts,Male,1,15,1473,40,1080,3,1215
6/3/2015,2015,120,116,Mbay,Central,,Ts,Female,1,10,1473,40,1080,3,810
6/3/2015,2015,120,116,Mbay,Central,,Ts,Juv,1,7,1473,40,1080,3,567
6/3/2015,2015,120,116,Mbay,Central,,Ts,Both,1,32,1473,40,1080,3,2592
6/3/2015,2015,120,116,Mbay,Central,,Nd,Male,1,0,1847,40,1080,3,0
6/3/2015,2015,120,116,Mbay,Central,,Nd,Female,1,0,1847,40,1080,3,0
6/3/2015,2015,120,116,Mbay,Central,,Nd,Both,1,0,1847,40,1080,3,0
6/10/2015,2015,151,101,PtSur,Central,,Ep,Male,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Ep,Female,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Ep,Both,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Ts,Male,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Ts,Female,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Ts,Both,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Nd,Male,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Nd,Female,1,0,1847,1,1,3,0
6/10/2015,2015,151,101,PtSur,Central,,Nd,Both,1,0,1847,1,1,3,0
6/11/2015,2015,155,106,PtSur,Central,,Ep,Male,1.6,42,1816,30,92,3,386.4
6/11/2015,2015,155,106,PtSur,Central,,Ep,Female,1.6,14,1816,30,92,3,128.8
6/11/2015,2015,155,106,PtSur,Central,,Ep,Both,1.6,69,1816,30,92,3,634.8
6/11/2015,2015,155,106,PtSur,Central,,Ts,Male,1.6,1,1473,30,92,3,9.2
6/11/2015,2015,155,106,PtSur,Central,,Ts,Female,1.6,0,1473,30,92,3,0
6/11/2015,2015,155,106,PtSur,Central,,Ts,Both,1.6,1,1473,30,92,3,9.2
6/11/2015,2015,155,106,PtSur,Central,,Nd,Male,1.6,0,1847,30,92,3,0
6/11/2015,2015,155,106,PtSur,Central,,Nd,Female,1.6,106,1847,30,92,3,975.2
6/11/2015,2015,155,106,PtSur,Central,,Nd,Both,1.6,109,1847,30,92,3,1002.8
6/11/2015,2015,156,211,Mbay,Central,,Ep,Male,1,27,1816,12,12,3,81
6/11/2015,2015,156,211,Mbay,Central,,Ep,Female,1,76,1816,12,12,3,228
6/11/2015,2015,156,211,Mbay,Central,,Ep,Both,1,103,1816,12,12,3,309
6/11/2015,2015,156,211,Mbay,Central,,Ts,Male,1,6,1473,12,12,3,18
6/11/2015,2015,156,211,Mbay,Central,,Ts,Female,1,6,1473,12,12,3,18
6/11/2015,2015,156,211,Mbay,Central,,Ts,Both,1,12,1473,12,12,3,36
6/11/2015,2015,156,211,Mbay,Central,,Nd,Male,1,0,1847,12,12,3,0
6/11/2015,2015,156,211,Mbay,Central,,Nd,Female,1,0,1847,12,12,3,0
6/11/2015,2015,156,211,Mbay,Central,,Nd,Both,1,0,1847,12,12,3,0
6/11/2015,2015,156,211,Mbay,Central,,Ns,Male,1,1,0,12,12,3,3
6/11/2015,2015,156,211,Mbay,Central,,Ns,Female,1,0,0,12,12,3,0
6/11/2015,2015,156,211,Mbay,Central,,Ns,Both,1,1,0,12,12,3,3
6/11/2015,2015,156,211,Mbay,Central,,Ee,Male,1,1,0,12,12,3,3
6/11/2015,2015,156,211,Mbay,Central,,Ee,Female,1,2,0,12,12,3,6
6/11/2015,2015,156,211,Mbay,Central,,Ee,Both,1,3,0,12,12,3,9
6/12/2015,2015,159,117,Mbay,Central,,Ep,Male,4,33,1816,50,1240,3,2455.2
6/12/2015,2015,159,117,Mbay,Central,,Ep,Female,4,71,1816,50,1240,3,5282.4
6/12/2015,2015,159,117,Mbay,Central,,Ep,Juv,4,135,1816,50,1240,3,10044
6/12/2015,2015,159,117,Mbay,Central,,Ep,Both,4,31,1816,50,1240,3,2306.4
6/12/2015,2015,159,117,Mbay,Central,,Ts,Male,4,0,1473,50,1240,3,0
6/12/2015,2015,159,117,Mbay,Central,,Ts,Female,4,0,1473,50,1240,3,0
6/12/2015,2015,159,117,Mbay,Central,,Ts,Both,4,0,1473,50,1240,3,0
6/12/2015,2015,159,117,Mbay,Central,,Nd,Male,4,0,1847,50,1240,3,0
6/12/2015,2015,159,117,Mbay,Central,,Nd,Female,4,0,1847,50,1240,3,0
6/12/2015,2015,159,117,Mbay,Central,,Nd,Both,4,0,1847,50,1240,3,0
6/12/2015,2015,160,131,Pesc,Central,,Ep,Male,1,0,1816,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Ep,Female,1,0,1816,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Ep,Both,1,0,1816,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Ts,Male,1,0,1473,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Ts,Female,1,0,1473,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Ts,Both,1,0,1473,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Nd,Male,1,0,1847,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Nd,Female,1,0,1847,1,1,,0
6/12/2015,2015,160,131,Pesc,Central,,Nd,Both,1,0,1847,1,1,,0
6/13/2015,2015,164,135,Pesc,Central,,Ep,Male,1,4,1816,2,2,3,12
6/13/2015,2015,164,135,Pesc,Central,,Ep,Female,1,8,1816,2,2,3,24
6/13/2015,2015,164,135,Pesc,Central,,Ep,Both,1,14,1816,2,2,3,42
6/13/2015,2015,164,135,Pesc,Central,,Ts,Male,1,0,1473,2,2,3,0
6/13/2015,2015,164,135,Pesc,Central,,Ts,Female,1,0,1473,2,2,3,0
6/13/2015,2015,164,135,Pesc,Central,,Ts,Both,1,0,1473,2,2,3,0
6/13/2015,2015,164,135,Pesc,Central,,Nd,Male,1,1,1847,2,2,3,3
6/13/2015,2015,164,135,Pesc,Central,,Nd,Female,1,7,1847,2,2,3,21
6/13/2015,2015,164,135,Pesc,Central,,Nd,Both,1,8,1847,2,2,3,24
6/13/2015,2015,165,162,FarOut,Central,,Ep,Male,1,13,1816,8,8,3,39
6/13/2015,2015,165,162,FarOut,Central,,Ep,Female,1,50,1816,8,8,3,150
6/13/2015,2015,165,162,FarOut,Central,,Ep,Both,1,63,1816,8,8,3,189
6/13/2015,2015,165,162,FarOut,Central,,Ts,Male,1,0,1473,8,8,3,0
6/13/2015,2015,165,162,FarOut,Central,,Ts,Female,1,0,1473,8,8,3,0
6/13/2015,2015,165,162,FarOut,Central,,Ts,Both,1,0,1473,8,8,3,0
6/13/2015,2015,165,162,FarOut,Central,,Nd,Male,1,0,1847,8,8,3,0
6/13/2015,2015,165,162,FarOut,Central,,Nd,Female,1,10,1847,8,8,3,30
6/13/2015,2015,165,162,FarOut,Central,,Nd,Both,1,10,1847,8,8,3,30
5/2/2014,2014,1,152,FarOut,Central,108,Ep,Male,8,76,1816,200,147150,1,55917
5/2/2014,2014,1,152,FarOut,Central,109,Ep,Female,8,101,1816,200,147150,1,74310.75
5/2/2014,2014,1,152,FarOut,Central,110,Ep,Both,8,177,1816,200,147150,1,130227.8
5/2/2014,2014,1,152,FarOut,Central,111,Ts,Male,5.333333,34,1473,200,147150,1,25015.5
5/2/2014,2014,1,152,FarOut,Central,112,Ts,Female,5.333333,20,1473,200,147150,1,14715
5/2/2014,2014,1,152,FarOut,Central,113,Ts,Both,5.333333,54,1473,200,147150,1,39730.5
5/2/2014,2014,1,152,FarOut,Central,114,Nd,Male,5.333333,0,1847,200,147150,1,0
5/2/2014,2014,1,152,FarOut,Central,115,Nd,Female,5.333333,0,1847,200,147150,1,0
5/2/2014,2014,1,152,FarOut,Central,116,Nd,Both,5.333333,0,1847,200,147150,1,0
5/2/2014,2014,2,154,FarOut,Central,1301,Ep,Male,16,59,1816,200,29700,1,8761.5
5/2/2014,2014,2,154,FarOut,Central,1302,Ep,Female,16,38,1816,200,29700,1,5643
5/2/2014,2014,2,154,FarOut,Central,1303,Ep,Both,16,97,1816,200,29700,1,14404.5
5/2/2014,2014,2,154,FarOut,Central,1304,Ts,Male,1,16,1473,200,29700,1,2376
5/2/2014,2014,2,154,FarOut,Central,1305,Ts,Female,1,21,1473,200,29700,1,3118.5
5/2/2014,2014,2,154,FarOut,Central,1306,Ts,Both,1,37,1473,200,29700,1,5494.5
5/2/2014,2014,2,154,FarOut,Central,1307,Nd,Male,1,0,1847,200,29700,1,0
5/2/2014,2014,2,154,FarOut,Central,1308,Nd,Female,1,0,1847,200,29700,1,0
5/2/2014,2014,2,154,FarOut,Central,1309,Nd,Both,1,0,1847,200,29700,1,0
5/3/2014,2014,3,156,FarOut,Central,91,Ep,Male,16,31,1816,200,19470,1,3017.85
5/3/2014,2014,3,156,FarOut,Central,92,Ep,Female,16,63,1816,200,19470,1,6133.05
5/3/2014,2014,3,156,FarOut,Central,93,Ep,Both,16,94,1816,200,19470,1,9150.9
5/3/2014,2014,3,156,FarOut,Central,94,Ts,Male,2,15,1473,200,19470,1,1460.25
5/3/2014,2014,3,156,FarOut,Central,95,Ts,Female,2,28,1473,200,19470,1,2725.8
5/3/2014,2014,3,156,FarOut,Central,96,Ts,Both,2,43,1473,200,19470,1,4186.05
5/3/2014,2014,3,156,FarOut,Central,97,Nd,Male,2,0,1847,200,19470,1,0
5/3/2014,2014,3,156,FarOut,Central,98,Nd,Female,2,0,1847,200,19470,1,0
5/3/2014,2014,3,156,FarOut,Central,99,Nd,Both,2,0,1847,200,19470,1,0
5/3/2014,2014,4,160,FarOut,Central,91,Ep,Male,8,33,1816,200,650,1,107.25
5/3/2014,2014,4,160,FarOut,Central,91,Ep,Female,8,97,1816,200,650,1,315.25
5/3/2014,2014,4,160,FarOut,Central,91,Ep,Both,8,130,1816,200,650,1,422.5
5/3/2014,2014,4,160,FarOut,Central,91,Ts,Male,5.333333,12,1473,200,650,1,39
5/3/2014,2014,4,160,FarOut,Central,91,Ts,Female,5.333333,34,1473,200,650,1,110.5
5/3/2014,2014,4,160,FarOut,Central,91,Ts,Both,5.333333,46,1473,200,650,1,149.5
5/3/2014,2014,4,160,FarOut,Central,91,Nd,Male,5.333333,0,1847,200,650,1,0
5/3/2014,2014,4,160,FarOut,Central,91,Nd,Female,5.333333,0,1847,200,650,1,0
5/3/2014,2014,4,160,FarOut,Central,91,Nd,Both,5.333333,0,1847,200,650,1,0
5/3/2014,2014,5,165,PtRey,Central,55,Ep,Male,4,40,1816,200,13300,1,2660
5/3/2014,2014,5,165,PtRey,Central,55,Ep,Female,4,55,1816,200,13300,1,3657.5
5/3/2014,2014,5,165,PtRey,Central,55,Ep,Both,4,95,1816,200,13300,1,6317.5
5/3/2014,2014,5,165,PtRey,Central,55,Ts,Male,4,17,1473,200,13300,1,1130.5
5/3/2014,2014,5,165,PtRey,Central,55,Ts,Female,4,131,1473,200,13300,1,8711.5
5/3/2014,2014,5,165,PtRey,Central,55,Ts,Both,4,148,1473,200,13300,1,9842
5/3/2014,2014,5,165,PtRey,Central,55,Nd,Male,4,0,1847,200,13300,1,0
5/3/2014,2014,5,165,PtRey,Central,55,Nd,Female,4,0,1847,200,13300,1,0
5/3/2014,2014,5,165,PtRey,Central,55,Nd,Both,4,0,1847,200,13300,1,0
5/3/2014,2014,6,166,PtRey,Central,73,Ep,Male,2,14,1816,200,15200,1,1064
5/3/2014,2014,6,166,PtRey,Central,73,Ep,Female,2,31,1816,200,15200,1,2356
5/3/2014,2014,6,166,PtRey,Central,73,Ep,Both,2,45,1816,200,15200,1,3420
5/3/2014,2014,6,166,PtRey,Central,73,Ts,Male,2,17,1473,200,15200,1,1292
5/3/2014,2014,6,166,PtRey,Central,73,Ts,Female,2,81,1473,200,15200,1,6156
5/3/2014,2014,6,166,PtRey,Central,73,Ts,Both,2,98,1473,200,15200,1,7448
5/3/2014,2014,6,166,PtRey,Central,73,Nd,Male,2,0,1847,200,15200,1,0
5/3/2014,2014,6,166,PtRey,Central,73,Nd,Female,2,0,1847,200,15200,1,0
5/3/2014,2014,6,166,PtRey,Central,73,Nd,Both,2,0,1847,200,15200,1,0
5/4/2014,2014,10,171,PtRey,Central,400,Ep,Male,8,40,1816,200,2500,1,500
5/4/2014,2014,10,171,PtRey,Central,400,Ep,Female,8,91,1816,200,2500,1,1137.5
5/4/2014,2014,10,171,PtRey,Central,400,Ep,Both,8,131,1816,200,2500,1,1637.5
5/4/2014,2014,10,171,PtRey,Central,400,Ts,Male,4,23,1473,200,2500,1,287.5
5/4/2014,2014,10,171,PtRey,Central,400,Ts,Female,4,40,1473,200,2500,1,500
5/4/2014,2014,10,171,PtRey,Central,400,Ts,Both,4,63,1473,200,2500,1,787.5
5/4/2014,2014,10,171,PtRey,Central,400,Nd,Male,4,0,1847,200,2500,1,0
5/4/2014,2014,10,171,PtRey,Central,400,Nd,Female,4,10,1847,200,2500,1,125
5/4/2014,2014,10,171,PtRey,Central,400,Nd,Both,4,10,1847,200,2500,1,125
5/4/2014,2014,11,131,Pesc,Central,82,Ep,Male,1,1,1816,200,1125,3,16.875
5/4/2014,2014,11,131,Pesc,Central,82,Ep,Female,1,12,1816,200,1125,3,202.5
5/4/2014,2014,11,131,Pesc,Central,82,Ep,Both,1,13,1816,200,1125,3,219.375
5/4/2014,2014,11,131,Pesc,Central,82,Ts,Male,8,50,1473,200,1125,3,843.75
5/4/2014,2014,11,131,Pesc,Central,82,Ts,Female,8,76,1473,200,1125,3,1282.5
5/4/2014,2014,11,131,Pesc,Central,82,Ts,Both,8,126,1473,200,1125,3,2126.25
5/4/2014,2014,11,131,Pesc,Central,82,Nd,Male,1,0,1847,200,1125,3,0
5/4/2014,2014,11,131,Pesc,Central,82,Nd,Female,1,0,1847,200,1125,3,0
5/4/2014,2014,11,131,Pesc,Central,82,Nd,Both,1,0,1847,200,1125,3,0
5/5/2014,2014,15,135,Pesc,Central,950,Ep,Male,16,40,1816,200,10725,1,2145
5/5/2014,2014,15,135,Pesc,Central,950,Ep,Female,16,54,1816,200,10725,1,2895.75
5/5/2014,2014,15,135,Pesc,Central,950,Ep,Both,16,94,1816,200,10725,1,5040.75
5/5/2014,2014,15,135,Pesc,Central,950,Ts,Male,1,0,1473,200,10725,1,0
5/5/2014,2014,15,135,Pesc,Central,950,Ts,Female,1,0,1473,200,10725,1,0
5/5/2014,2014,15,135,Pesc,Central,950,Ts,Both,1,0,1473,200,10725,1,0
5/5/2014,2014,15,135,Pesc,Central,950,Nd,Male,1,10,1847,200,10725,1,536.25
5/5/2014,2014,15,135,Pesc,Central,950,Nd,Female,1,44,1847,200,10725,1,2359.5
5/5/2014,2014,15,135,Pesc,Central,950,Nd,Both,1,54,1847,200,10725,1,2895.75
5/5/2014,2014,16,123,Dvpt,Central,,Ep,Male,8,0,1816,200,7177,1,0
5/5/2014,2014,16,123,Dvpt,Central,,Ep,Female,8,0,1816,200,7177,1,0
5/5/2014,2014,16,123,Dvpt,Central,,Ep,Both,8,0,1816,200,7177,1,0
5/5/2014,2014,16,123,Dvpt,Central,,Ts,Male,8,0,1473,200,7177,1,0
5/5/2014,2014,16,123,Dvpt,Central,,Ts,Female,8,0,1473,200,7177,1,0
5/5/2014,2014,16,123,Dvpt,Central,,Ts,Both,8,0,1473,200,7177,1,0
5/5/2014,2014,16,123,Dvpt,Central,,Nd,Male,8,23,1847,200,7177,1,825.355
5/5/2014,2014,16,123,Dvpt,Central,,Nd,Female,8,101,1847,200,7177,1,3624.385
